alpha_s,top_quark_mass,energy,upper_bound_inc,upper_bound_dec
0.118,172.5,6500,0.1,0.05

theta,x1,x2
0.746597,0.0428764,0.0214615
0.590466,0.0244336,0.106304
0.29751,0.01849,0.194027
0.82768,0.0218802,0.150288
0.562905,0.0188318,0.0494378
0.427114,0.0530116,0.0365689
0.582477,0.0539556,0.0237464
0.432198,0.0280489,0.0347932
0.919156,0.110948,0.0166044
0.856383,0.0621332,0.0773169
0.373402,0.0807443,0.0211729
0.689181,0.0285378,0.0488976
0.810489,0.0196308,0.0887558
0.146751,0.0658402,0.0191237
0.720899,0.0431426,0.0635705
0.777043,0.0410337,0.0883361
0.838628,0.0759553,0.018368
0.63894,0.0218683,0.033224
0.105449,0.020022,0.0572799
0.847509,0.271624,0.0504713
0.434973,0.0145658,0.0631165
0.215332,0.0236403,0.104079
0.68062,0.0640398,0.0380628
0.527754,0.044826,0.0202243
0.675955,0.0773669,0.012001
0.610979,0.0249092,0.0962984
0.986377,0.08449,0.0470181
0.868938,0.0328614,0.0623092
0.410698,0.0569408,0.0226395
0.682252,0.0139032,0.0558105
0.362266,0.0425333,0.0557427
0.485967,0.060184,0.0167828
0.153747,0.0337685,0.0394222
0.520155,0.0196043,0.1018
0.899405,0.0571522,0.0230631
0.254027,0.0442463,0.0429218
0.767448,0.0300697,0.0253593
0.328739,0.0253457,0.029349
0.929223,0.0276393,0.0893587
0.232761,0.0253043,0.0313569
0.471949,0.0572994,0.0163108
0.534682,0.0193602,0.057247
0.228888,0.016792,0.0569916
0.0509109,0.0203917,0.0480643
0.67742,0.0137021,0.129934
0.441314,0.0732819,0.0287292
0.811017,0.0457186,0.0337975
0.595788,0.0857692,0.0220374
0.40541,0.0799612,0.0263846
0.968961,0.0246253,0.138414
0.939758,0.255146,0.0157654
0.889714,0.0585051,0.0586485
0.385366,0.0170332,0.0615518
0.348758,0.0535556,0.0283504
0.890676,0.101034,0.0258406
0.181805,0.0148523,0.247982
0.250408,0.0408885,0.0333675
0.516496,0.0164651,0.0655512
0.124134,0.0558829,0.0381996
0.272957,0.0289268,0.130423
0.934461,0.0181192,0.064395
0.964925,0.145573,0.0285028
0.155814,0.0464988,0.057128
0.151031,0.0430749,0.0221656
0.392935,0.0576771,0.0133963
0.820003,0.0602529,0.08253
0.484766,0.0430939,0.0239678
0.131963,0.0281552,0.0574793
0.909104,0.0705216,0.0255031
0.266438,0.0321728,0.0252106
0.725904,0.193133,0.0212044
