D,L,kappa,lambda,min_nstep,max_nstep,d_nstep,tlength,ntherm,ntraj,naccu
3,4,1.500000e-01,1.145000e+00,10,50,2,1.000000e+00,1000,10000,100

dtau,dtau2,deltaH
2.000000e-02,4.000000e-04,3.393152e-03
2.000000e-02,4.000000e-04,4.169187e-03
2.000000e-02,4.000000e-04,4.571159e-03
2.000000e-02,4.000000e-04,3.959659e-03
2.000000e-02,4.000000e-04,3.495081e-03
2.000000e-02,4.000000e-04,4.685981e-03
2.000000e-02,4.000000e-04,4.459328e-03
2.000000e-02,4.000000e-04,5.057289e-03
2.000000e-02,4.000000e-04,4.700107e-03
2.000000e-02,4.000000e-04,3.858629e-03
2.000000e-02,4.000000e-04,3.878080e-03
2.000000e-02,4.000000e-04,4.873334e-03
2.000000e-02,4.000000e-04,4.305426e-03
2.000000e-02,4.000000e-04,4.209242e-03
2.000000e-02,4.000000e-04,3.740619e-03
2.000000e-02,4.000000e-04,4.489863e-03
2.000000e-02,4.000000e-04,4.126392e-03
2.000000e-02,4.000000e-04,4.284190e-03
2.000000e-02,4.000000e-04,4.515686e-03
2.000000e-02,4.000000e-04,4.474875e-03
2.000000e-02,4.000000e-04,3.546315e-03
2.000000e-02,4.000000e-04,4.502634e-03
2.000000e-02,4.000000e-04,4.411121e-03
2.000000e-02,4.000000e-04,4.660139e-03
2.000000e-02,4.000000e-04,4.466228e-03
2.000000e-02,4.000000e-04,5.307271e-03
2.000000e-02,4.000000e-04,4.365811e-03
2.000000e-02,4.000000e-04,4.345690e-03
2.000000e-02,4.000000e-04,4.068597e-03
2.000000e-02,4.000000e-04,4.088501e-03
2.000000e-02,4.000000e-04,4.025708e-03
2.000000e-02,4.000000e-04,4.422992e-03
2.000000e-02,4.000000e-04,4.610755e-03
2.000000e-02,4.000000e-04,4.845001e-03
2.000000e-02,4.000000e-04,4.822493e-03
2.000000e-02,4.000000e-04,4.790517e-03
2.000000e-02,4.000000e-04,4.468974e-03
2.000000e-02,4.000000e-04,4.425845e-03
2.000000e-02,4.000000e-04,4.274080e-03
2.000000e-02,4.000000e-04,4.333895e-03
2.000000e-02,4.000000e-04,4.347523e-03
2.000000e-02,4.000000e-04,4.253358e-03
2.000000e-02,4.000000e-04,4.770357e-03
2.000000e-02,4.000000e-04,3.896081e-03
2.000000e-02,4.000000e-04,4.570309e-03
2.000000e-02,4.000000e-04,4.079145e-03
2.000000e-02,4.000000e-04,4.279459e-03
2.000000e-02,4.000000e-04,4.185633e-03
2.000000e-02,4.000000e-04,3.939501e-03
2.000000e-02,4.000000e-04,4.637389e-03
2.000000e-02,4.000000e-04,4.272921e-03
2.000000e-02,4.000000e-04,3.575498e-03
2.000000e-02,4.000000e-04,4.832623e-03
2.000000e-02,4.000000e-04,4.389179e-03
2.000000e-02,4.000000e-04,4.277363e-03
2.000000e-02,4.000000e-04,4.595919e-03
2.000000e-02,4.000000e-04,4.016783e-03
2.000000e-02,4.000000e-04,4.363819e-03
2.000000e-02,4.000000e-04,4.528299e-03
2.000000e-02,4.000000e-04,3.827057e-03
2.000000e-02,4.000000e-04,4.186112e-03
2.000000e-02,4.000000e-04,4.423598e-03
2.000000e-02,4.000000e-04,4.144608e-03
2.000000e-02,4.000000e-04,4.163639e-03
2.000000e-02,4.000000e-04,5.361178e-03
2.000000e-02,4.000000e-04,3.594396e-03
2.000000e-02,4.000000e-04,4.180196e-03
2.000000e-02,4.000000e-04,4.218048e-03
2.000000e-02,4.000000e-04,4.220517e-03
2.000000e-02,4.000000e-04,4.333607e-03
2.000000e-02,4.000000e-04,3.787417e-03
2.000000e-02,4.000000e-04,4.067111e-03
2.000000e-02,4.000000e-04,4.588770e-03
2.000000e-02,4.000000e-04,4.039460e-03
2.000000e-02,4.000000e-04,4.884960e-03
2.000000e-02,4.000000e-04,3.948362e-03
2.000000e-02,4.000000e-04,4.455697e-03
2.000000e-02,4.000000e-04,3.613716e-03
2.000000e-02,4.000000e-04,4.076876e-03
2.000000e-02,4.000000e-04,4.244795e-03
2.000000e-02,4.000000e-04,4.399235e-03
2.000000e-02,4.000000e-04,4.962356e-03
2.000000e-02,4.000000e-04,3.830389e-03
2.000000e-02,4.000000e-04,4.236217e-03
2.000000e-02,4.000000e-04,4.216752e-03
2.000000e-02,4.000000e-04,4.812005e-03
2.000000e-02,4.000000e-04,4.297248e-03
2.000000e-02,4.000000e-04,4.131583e-03
2.000000e-02,4.000000e-04,4.817826e-03
2.000000e-02,4.000000e-04,4.177885e-03
2.000000e-02,4.000000e-04,4.904563e-03
2.000000e-02,4.000000e-04,4.404435e-03
2.000000e-02,4.000000e-04,4.819870e-03
2.000000e-02,4.000000e-04,4.862643e-03
2.000000e-02,4.000000e-04,3.847142e-03
2.000000e-02,4.000000e-04,4.516513e-03
2.000000e-02,4.000000e-04,4.518920e-03
2.000000e-02,4.000000e-04,4.876223e-03
2.000000e-02,4.000000e-04,3.756949e-03
2.000000e-02,4.000000e-04,4.354646e-03
2.083333e-02,4.340278e-04,4.571697e-03
2.083333e-02,4.340278e-04,4.887575e-03
2.083333e-02,4.340278e-04,4.564529e-03
2.083333e-02,4.340278e-04,5.149398e-03
2.083333e-02,4.340278e-04,4.706646e-03
2.083333e-02,4.340278e-04,4.771649e-03
2.083333e-02,4.340278e-04,4.955587e-03
2.083333e-02,4.340278e-04,4.593953e-03
2.083333e-02,4.340278e-04,4.556560e-03
2.083333e-02,4.340278e-04,4.723012e-03
2.083333e-02,4.340278e-04,4.607911e-03
2.083333e-02,4.340278e-04,4.640796e-03
2.083333e-02,4.340278e-04,4.150026e-03
2.083333e-02,4.340278e-04,4.716088e-03
2.083333e-02,4.340278e-04,4.339168e-03
2.083333e-02,4.340278e-04,4.873381e-03
2.083333e-02,4.340278e-04,4.227062e-03
2.083333e-02,4.340278e-04,5.747830e-03
2.083333e-02,4.340278e-04,4.614805e-03
2.083333e-02,4.340278e-04,5.128233e-03
2.083333e-02,4.340278e-04,4.656017e-03
2.083333e-02,4.340278e-04,4.534545e-03
2.083333e-02,4.340278e-04,4.962652e-03
2.083333e-02,4.340278e-04,4.788755e-03
2.083333e-02,4.340278e-04,4.691995e-03
2.083333e-02,4.340278e-04,4.441106e-03
2.083333e-02,4.340278e-04,5.102159e-03
2.083333e-02,4.340278e-04,4.975100e-03
2.083333e-02,4.340278e-04,5.197131e-03
2.083333e-02,4.340278e-04,4.548033e-03
2.083333e-02,4.340278e-04,4.404501e-03
2.083333e-02,4.340278e-04,4.246698e-03
2.083333e-02,4.340278e-04,5.102986e-03
2.083333e-02,4.340278e-04,4.686915e-03
2.083333e-02,4.340278e-04,4.590932e-03
2.083333e-02,4.340278e-04,5.131643e-03
2.083333e-02,4.340278e-04,4.687336e-03
2.083333e-02,4.340278e-04,4.765490e-03
2.083333e-02,4.340278e-04,3.894956e-03
2.083333e-02,4.340278e-04,5.157052e-03
2.083333e-02,4.340278e-04,5.088140e-03
2.083333e-02,4.340278e-04,5.108704e-03
2.083333e-02,4.340278e-04,4.822094e-03
2.083333e-02,4.340278e-04,4.292454e-03
2.083333e-02,4.340278e-04,5.181583e-03
2.083333e-02,4.340278e-04,5.072497e-03
2.083333e-02,4.340278e-04,4.152679e-03
