D,lambda,tlength,ntherm,ntraj,naccu,c
3,1.145000e+00,1.000000e+00,5000,100000,1000,3.000000e+00

L,k,m,mAbs,m2,m2_V,m4
4,1.800000e-01,-1.739262e+01,2.124620e+01,5.932288e+02,9.269201e+00,6.687121e+05
4,1.800000e-01,1.065095e-01,2.539963e+01,8.246598e+02,1.288531e+01,1.139810e+06
4,1.800000e-01,-6.561756e+00,1.993349e+01,5.561732e+02,8.690206e+00,6.357970e+05
4,1.800000e-01,8.345574e+00,2.419873e+01,7.486779e+02,1.169809e+01,9.588929e+05
4,1.800000e-01,1.103834e+01,2.421395e+01,7.639162e+02,1.193619e+01,1.004901e+06
4,1.800000e-01,-1.803337e+01,2.497535e+01,7.934053e+02,1.239696e+01,1.045870e+06
4,1.800000e-01,-3.382278e+00,2.224032e+01,6.658117e+02,1.040331e+01,8.438531e+05
4,1.800000e-01,-1.949413e-01,2.444916e+01,7.713129e+02,1.205176e+01,1.050969e+06
4,1.800000e-01,1.130004e+00,2.367997e+01,7.321510e+02,1.143986e+01,9.705992e+05
4,1.800000e-01,1.038859e+00,1.955851e+01,5.281133e+02,8.251770e+00,5.848453e+05
4,1.800000e-01,5.554871e+00,2.430714e+01,7.725551e+02,1.207117e+01,1.087379e+06
4,1.800000e-01,-5.707882e-01,2.035815e+01,5.630327e+02,8.797386e+00,6.251082e+05
4,1.800000e-01,6.660432e+00,2.027388e+01,5.615056e+02,8.773526e+00,6.059067e+05
4,1.800000e-01,-1.373547e+01,2.230335e+01,6.537862e+02,1.021541e+01,7.856003e+05
4,1.800000e-01,-1.177821e+01,2.425928e+01,7.192530e+02,1.123833e+01,8.371625e+05
4,1.800000e-01,-4.520860e+00,2.263732e+01,6.757351e+02,1.055836e+01,8.332164e+05
4,1.800000e-01,6.242114e+00,2.278353e+01,6.857523e+02,1.071488e+01,8.811857e+05
4,1.800000e-01,-4.162138e+00,2.022984e+01,5.778158e+02,9.028372e+00,6.982541e+05
4,1.800000e-01,1.081641e+00,2.265697e+01,6.745855e+02,1.054040e+01,8.210875e+05
4,1.800000e-01,9.721669e+00,2.830280e+01,9.547571e+02,1.491808e+01,1.365381e+06
4,1.800000e-01,-2.212412e+00,2.120915e+01,6.201000e+02,9.689063e+00,7.948629e+05
4,1.800000e-01,-1.104594e+01,2.379608e+01,7.181144e+02,1.122054e+01,8.585217e+05
4,1.800000e-01,-5.882070e+00,2.384495e+01,7.154003e+02,1.117813e+01,8.598768e+05
