64 10000 64 100000 100000000 0.250000 0.150000 1.145000
n M absM M2 M4
1 3.302494e+00 1.198273e+01 2.066723e+02 9.524669e+04
2 6.981733e+00 9.656119e+00 1.238977e+02 3.003129e+04
3 7.140423e+00 1.350332e+01 2.666063e+02 1.703630e+05
4 -1.910296e+00 9.682594e+00 1.592249e+02 8.718002e+04
5 -7.220383e+00 1.149206e+01 1.827361e+02 6.615413e+04
6 7.226534e+00 9.467895e+00 1.198495e+02 2.997420e+04
7 7.947550e-01 7.813332e+00 9.301361e+01 2.346952e+04
8 6.073371e+00 1.141506e+01 1.821758e+02 7.478881e+04
9 5.688297e+00 9.251357e+00 1.198913e+02 3.053466e+04
10 1.258177e+01 1.760880e+01 3.964134e+02 2.744702e+05
11 -9.950455e+00 1.091048e+01 1.829604e+02 8.190281e+04
12 4.595710e+00 9.811412e+00 1.457539e+02 5.485559e+04
13 -5.042239e+00 7.282556e+00 9.239558e+01 3.674352e+04
14 -2.284199e+00 1.528561e+01 3.335562e+02 2.660461e+05
15 3.242778e+00 6.288360e+00 6.508615e+01 1.410640e+04
16 7.772438e-01 1.689373e+01 3.701860e+02 2.785549e+05
17 4.644630e+00 7.831977e+00 9.288223e+01 2.171577e+04
18 -1.650577e+01 1.688602e+01 4.171280e+02 3.533040e+05
19 1.391497e+01 1.566353e+01 3.282660e+02 1.899331e+05
20 -4.958447e+00 1.049135e+01 1.469531e+02 4.223220e+04
21 -1.342998e+01 1.354466e+01 2.420003e+02 1.096612e+05
22 -3.919618e-01 9.334966e+00 1.230181e+02 3.364824e+04
23 1.235346e+01 1.295370e+01 2.405531e+02 1.391293e+05
24 -3.409600e+00 9.474120e+00 1.494508e+02 7.102556e+04
25 2.988811e+00 1.167205e+01 2.269017e+02 1.531835e+05
26 -7.060960e+00 1.017075e+01 1.846484e+02 1.042957e+05
27 2.333850e-01 6.585504e+00 7.028688e+01 1.467988e+04
28 -4.313036e+00 7.552100e+00 8.629649e+01 1.992755e+04
29 -7.799651e+00 1.165557e+01 2.047588e+02 9.141790e+04
30 4.742592e+00 1.337997e+01 2.240385e+02 9.384263e+04
31 1.639883e+01 1.698259e+01 3.809219e+02 2.618243e+05
32 5.674011e+00 9.663248e+00 1.371080e+02 4.521121e+04
33 3.422006e+00 7.302533e+00 8.782896e+01 2.144456e+04
34 -3.214439e+00 1.114582e+01 1.683726e+02 5.841958e+04
35 -5.917226e-01 9.917817e+00 1.424437e+02 5.240304e+04
36 -3.242147e+00 9.976253e+00 1.393195e+02 4.126138e+04
37 1.193719e+01 1.565036e+01 3.117697e+02 1.702901e+05
38 -5.426646e+00 1.049368e+01 1.799751e+02 8.621660e+04
39 -9.178388e+00 1.202729e+01 2.213028e+02 1.252100e+05
40 -1.833119e+00 1.049417e+01 1.755853e+02 8.534411e+04
41 6.915216e+00 1.371841e+01 2.582365e+02 1.311916e+05
42 -1.151130e+00 7.778606e+00 9.919764e+01 2.747300e+04
43 8.415475e+00 1.464121e+01 2.834897e+02 1.477105e+05
44 -9.774906e+00 1.485345e+01 3.385814e+02 3.013543e+05
45 -8.784863e+00 1.448807e+01 3.050807e+02 2.006509e+05
46 3.999335e+00 9.963495e+00 1.555174e+02 6.771191e+04
47 1.080806e+01 1.206841e+01 2.220465e+02 1.209724e+05
48 2.731447e+00 9.795370e+00 1.433702e+02 4.754030e+04
49 -5.797631e+00 1.019613e+01 1.445429e+02 4.164315e+04
50 4.314022e+00 8.391333e+00 1.073528e+02 3.072771e+04
51 4.502746e+00 1.040786e+01 1.578040e+02 5.904650e+04
52 1.743253e+00 1.313107e+01 2.544676e+02 1.463592e+05
53 1.191432e+01 1.408273e+01 2.803639e+02 1.730945e+05
54 -1.677853e+00 1.464631e+01 2.927024e+02 1.661833e+05
55 6.492655e+00 1.137202e+01 2.219416e+02 1.379254e+05
56 -7.770193e-01 7.170668e+00 8.101545e+01 1.837496e+04
57 -3.628450e-01 1.002955e+01 1.499153e+02 5.316019e+04
58 2.597210e+00 1.247251e+01 2.049502e+02 7.739445e+04
59 8.866638e+00 1.243017e+01 2.008675e+02 7.196033e+04
60 -5.911005e+00 1.459871e+01 2.853128e+02 1.620553e+05
61 -4.944400e+00 7.848994e+00 1.104678e+02 4.894005e+04
62 -5.075134e+00 9.683781e+00 1.453378e+02 5.436619e+04
63 -9.042928e+00 1.137390e+01 2.157789e+02 1.223267e+05
64 2.313543e+00 1.350676e+01 2.317979e+02 1.009511e+05
65 -2.056567e+01 2.056567e+01 4.796785e+02 3.255791e+05
66 -1.965735e+01 1.965735e+01 4.417635e+02 3.037309e+05
67 7.873277e+00 1.295732e+01 2.483932e+02 1.547424e+05
68 -5.782800e+00 9.360372e+00 1.335995e+02 4.367674e+04
69 3.338321e+00 7.608214e+00 8.449841e+01 1.787770e+04
70 6.823763e-01 8.674740e+00 1.114241e+02 2.838885e+04
71 -7.012903e+00 1.266681e+01 2.061927e+02 7.298598e+04
72 1.131409e+01 1.669639e+01 3.806029e+02 2.973499e+05
73 -1.775003e+00 8.168200e+00 1.029944e+02 2.860419e+04
74 7.715694e-01 1.067988e+01 1.703782e+02 7.404449e+04
75 -9.409645e+00 1.217823e+01 1.975771e+02 7.626991e+04
76 -1.565908e+01 1.619213e+01 3.496479e+02 2.240542e+05
77 -1.131866e+01 1.708593e+01 3.733063e+02 2.370845e+05
78 -3.288803e-01 1.180469e+01 1.912339e+02 7.477651e+04
79 1.427365e-01 1.252851e+01 2.056198e+02 7.641518e+04
80 2.704126e+00 1.028777e+01 1.843749e+02 1.039033e+05
81 -1.394445e+01 1.879510e+01 4.498897e+02 3.841644e+05
82 -6.697189e+00 1.313921e+01 2.249845e+02 9.131194e+04
83 7.488430e+00 1.913657e+01 4.416900e+02 2.910686e+05
84 9.663984e+00 1.186165e+01 2.140172e+02 1.071406e+05
85 1.658115e+01 1.674026e+01 3.319293e+02 1.663621e+05
86 9.691731e+00 1.292308e+01 2.304686e+02 1.214560e+05
87 5.190077e+00 1.438567e+01 3.049432e+02 2.188683e+05
88 6.171970e-01 1.172085e+01 1.949804e+02 7.988922e+04
89 1.141156e+01 1.471117e+01 2.820128e+02 1.373794e+05
90 -2.458991e+00 7.802350e+00 8.667537e+01 1.769997e+04
91 2.098009e+00 1.368381e+01 2.534649e+02 1.318231e+05
92 -3.560468e+00 1.215132e+01 2.230454e+02 1.281566e+05
93 1.825704e+00 9.641518e+00 1.569787e+02 7.944194e+04
94 9.319838e+00 1.419027e+01 2.551409e+02 1.093499e+05
95 -1.846771e+01 1.854959e+01 4.355362e+02 3.242527e+05
96 2.566465e+00 6.971312e+00 7.755348e+01 1.931834e+04
97 -3.231835e+00 1.084900e+01 1.680026e+02 6.003670e+04
98 1.993792e+00 1.634118e+01 3.444385e+02 2.099859e+05
99 4.763116e+00 1.334879e+01 2.773165e+02 1.979006e+05
100 8.547979e+00 1.406570e+01 2.658041e+02 1.331923e+05
101 -7.042940e+00 1.383104e+01 2.676080e+02 1.980217e+05
102 -1.518375e+00 8.460572e+00 1.027126e+02 2.406377e+04
103 -4.612230e+00 1.099187e+01 1.861564e+02 1.048446e+05
104 -8.739958e+00 1.715421e+01 4.374267e+02 4.453756e+05
105 -6.947725e+00 9.306948e+00 1.496970e+02 8.545922e+04
106 -5.076373e+00 1.118344e+01 1.835402e+02 8.302550e+04
107 -1.453589e+01 1.473638e+01 2.825789e+02 1.442365e+05
108 -1.073376e+01 1.221305e+01 2.051030e+02 8.146304e+04
109 6.654923e+00 1.146073e+01 2.074324e+02 1.199801e+05
110 -1.456489e+01 1.676146e+01 4.045550e+02 3.461429e+05
111 -1.299313e+00 1.223033e+01 2.072935e+02 9.196869e+04
112 -1.218294e+01 1.507588e+01 3.263400e+02 2.409957e+05
113 -9.886470e+00 1.300830e+01 2.894428e+02 2.546642e+05
114 1.417569e+01 1.737693e+01 4.347372e+02 4.479984e+05
115 6.991628e+00 1.154995e+01 1.797141e+02 6.770172e+04
116 8.839891e+00 9.909484e+00 1.567097e+02 6.432135e+04
117 -6.222433e+00 1.367295e+01 2.709881e+02 1.685426e+05
118 -6.218586e+00 1.195338e+01 2.248380e+02 1.346561e+05
119 1.989204e+00 1.192990e+01 1.911652e+02 6.951388e+04
120 -1.423687e+01 1.672546e+01 3.859491e+02 2.885955e+05
121 -3.218010e+00 1.543696e+01 3.054191e+02 1.670876e+05
122 4.930576e+00 1.144182e+01 2.048800e+02 1.088575e+05
123 -1.866421e+00 9.112382e+00 1.435160e+02 6.813650e+04
124 -8.112102e+00 1.024024e+01 1.393356e+02 3.898198e+04
125 1.050949e+01 1.782515e+01 4.383492e+02 3.564107e+05
126 -1.518722e+01 1.544692e+01 3.414779e+02 2.672043e+05
127 -9.161335e+00 1.023227e+01 1.576090e+02 6.092657e+04
128 6.075691e+00 8.690430e+00 1.179738e+02 3.889995e+04
129 -4.127900e+00 1.300364e+01 2.306269e+02 1.069907e+05
130 1.159370e+01 1.558503e+01 3.264632e+02 2.087675e+05
