D,lambda,tlength,ntherm,ntraj,naccu,c
3,1.145000e+00,1.000000e+00,5000,100000,1000,3.000000e+00

L,k,m,mAbs,m2,m2_V,m4
4,1.500000e-01,2.706466e+00,1.166315e+01,2.115844e+02,3.306006e+00,1.228271e+05
4,1.500000e-01,-5.778282e-01,1.352050e+01,2.754703e+02,4.304223e+00,1.922195e+05
4,1.500000e-01,-6.992479e-02,1.157933e+01,2.086246e+02,3.259759e+00,1.194320e+05
4,1.500000e-01,-5.350406e+00,1.339214e+01,2.638004e+02,4.121881e+00,1.699926e+05
4,1.500000e-01,3.309344e+00,1.236828e+01,2.296144e+02,3.587726e+00,1.305956e+05
4,1.500000e-01,1.024168e+00,1.217978e+01,2.298539e+02,3.591468e+00,1.414445e+05
4,1.500000e-01,-7.098439e-01,1.268709e+01,2.400054e+02,3.750084e+00,1.432317e+05
4,1.500000e-01,-2.245200e+00,1.185385e+01,2.160965e+02,3.376508e+00,1.276549e+05
4,1.500000e-01,-5.473637e-01,1.133148e+01,1.902726e+02,2.973010e+00,8.888660e+04
4,1.500000e-01,-9.488143e-01,1.303849e+01,2.438881e+02,3.810751e+00,1.386119e+05
4,1.500000e-01,3.170154e+00,1.261436e+01,2.447466e+02,3.824165e+00,1.595129e+05
4,1.500000e-01,-6.756874e-01,1.232839e+01,2.270271e+02,3.547298e+00,1.316694e+05
4,1.500000e-01,1.331112e+00,1.366071e+01,2.718454e+02,4.247585e+00,1.717534e+05
4,1.500000e-01,-2.804046e+00,1.054353e+01,1.683642e+02,2.630690e+00,7.967484e+04
4,1.500000e-01,-6.598399e-01,1.105925e+01,1.826140e+02,2.853344e+00,8.217659e+04
4,1.500000e-01,-3.319880e-01,1.258077e+01,2.335699e+02,3.649529e+00,1.345477e+05
4,1.500000e-01,1.789169e+00,1.214312e+01,2.153937e+02,3.365527e+00,1.129987e+05
4,1.500000e-01,-8.241932e-02,1.239623e+01,2.171597e+02,3.393120e+00,1.068371e+05
4,1.500000e-01,-3.949283e+00,1.275614e+01,2.404911e+02,3.757673e+00,1.410933e+05
4,1.500000e-01,4.791569e-01,1.289235e+01,2.426378e+02,3.791215e+00,1.417180e+05
4,1.500000e-01,3.253074e+00,1.314935e+01,2.533709e+02,3.958920e+00,1.553758e+05
4,1.500000e-01,-2.095306e+00,1.225192e+01,2.249759e+02,3.515249e+00,1.323139e+05
4,1.500000e-01,2.785303e-01,1.337197e+01,2.590159e+02,4.047123e+00,1.546565e+05
